id,title,subTitle,url,image,price_sale,price_original,gender,age_group
JH5419,Gazelle Indoor Shoes,Originals,https://www.adidas.com.ph/en/gazelle-indoor-shoes/JH5419.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/c70d15879e914e9faebed8b5e0e0329a_9366/gazelle-indoor-shoes.jpg",7300,7300,['male'],adult
JH5099,SL 72 RS Shoes,Men Originals,https://www.adidas.com.ph/en/sl-72-rs-shoes/JH5099.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/36556e3b49d547c5a4a4f1e8a2d5dad4_9366/sl-72-rs-shoes.jpg",6000,6000,['male'],adult
JI1850,Court Shoes,Men Sportswear,https://www.adidas.com.ph/en/court-shoes/JI1850.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/b5876fc4d1954df39fe78b5cffd29fd6_9366/court-shoes.jpg",2800,2800,['male'],adult
JS2853,Adilette Shower Slides,Sportswear,https://www.adidas.com.ph/en/adilette-shower-slides/JS2853.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/115e29d8d9304f638be150d799ee9cd6_9366/adilette-shower-slides.jpg",1500,1500,['male'],adult
IE1230,F50 League Turf Boots,Football,https://www.adidas.com.ph/en/f50-league-turf-boots/IE1230.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/f586bce0739847629ab13b4cd1927087_9366/f50-league-turf-boots.jpg",4700,4700,['male'],adult
IH2559,Barricade 13 Tennis Shoes,Men Tennis,https://www.adidas.com.ph/en/barricade-13-tennis-shoes/IH2559.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/9b9864c1b1974cd6af7af91b3b6b7fb1_9366/barricade-13-tennis-shoes.jpg",7500,7500,['male'],adult
JH7835,BW Army Shoes,Originals,https://www.adidas.com.ph/en/bw-army-shoes/JH7835.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/b2202dd992c142c3a3406309691d8109_9366/bw-army-shoes.jpg",7500,7500,['male'],adult
JI3171,Campus 00s Shoes,Men Originals,https://www.adidas.com.ph/en/campus-00s-shoes/JI3171.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/b83b42d8fa254a8081666077ddbf14fb_9366/campus-00s-shoes.jpg",5500,5500,['male'],adult
JH7794,Adilette 22 Slides,Men Originals,https://www.adidas.com.ph/en/adilette-22-slides/JH7794.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/e4859d47790f48c4a6f3fac86c801b7e_9366/adilette-22-slides.jpg",2900,2900,['male'],adult
JQ8155,Adizero Aruku Shoes,Originals,https://www.adidas.com.ph/en/adizero-aruku-shoes/JQ8155.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/4aff0d879bc744678f2534abd2b3409b_9366/adizero-aruku-shoes.jpg",7300,7300,['male'],adult
IF4076,Court Shoes,Men Sportswear,https://www.adidas.com.ph/en/court-shoes/IF4076.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/2c488b2419c744c9a113553a8c327ff6_9366/court-shoes.jpg",2800,2800,['male'],adult
JI3272,Forum Low CL Shoes,Men Originals,https://www.adidas.com.ph/en/forum-low-cl-shoes/JI3272.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/1c09f12c468f46c096be8a0b63f07959_9366/forum-low-cl-shoes.jpg",5500,5500,['male'],adult
JI4943,Run 60s 3.0 Shoes,Men Sportswear,https://www.adidas.com.ph/en/run-60s-3.0-shoes/JI4943.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/c58fb2ae395f460cbd597ad87c6c5c0a_9366/run-60s-3.0-shoes.jpg",3000,3000,['male'],adult
JH6944,Lightblaze Shoes,Men Sportswear,https://www.adidas.com.ph/en/lightblaze-shoes/JH6944.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/0babcf0fb5bb459690a5eb38ea21b2f6_9366/lightblaze-shoes.jpg",6000,6000,['male'],adult
JI0365,Break Start Premium Low Shoes,Sportswear,https://www.adidas.com.ph/en/break-start-premium-low-shoes/JI0365.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/01dcf0c54328407b9c0d77e719cbeff4_9366/break-start-premium-low-shoes.jpg",4700,4700,['male'],adult
JH9013,Gamecourt 2.0 Tennis Shoes,Men Tennis,https://www.adidas.com.ph/en/gamecourt-2.0-tennis-shoes/JH9013.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/898f901f7f004fb39dbc5f3f85093df3_9366/gamecourt-2.0-tennis-shoes.jpg",3800,3800,['male'],adult
JI3900,Dropset 3 strength training shoes,Training,https://www.adidas.com.ph/en/dropset-3-strength-training-shoes/JI3900.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/4c75af48397f4584854c3393fbe952fd_9366/dropset-3-strength-training-shoes.jpg",6500,6500,['male'],adult
IH6108,Response Runner Shoes,Running,https://www.adidas.com.ph/en/response-runner-shoes/IH6108.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/c926e948845b440b844c9127e7d1adc9_9366/response-runner-shoes.jpg",3000,3000,['male'],adult
JH5103,SL 72 RS Shoes,Men Originals,https://www.adidas.com.ph/en/sl-72-rs-shoes/JH5103.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/9518c27b1a65477981303fdcbad06c44_9366/sl-72-rs-shoes.jpg",6000,6000,['male'],adult
JH7039,Lightblaze Moc Shoes,Sportswear,https://www.adidas.com.ph/en/lightblaze-moc-shoes/JH7039.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/337d03184b30486d80bed4e41877fb32_9366/lightblaze-moc-shoes.jpg",3200,3200,['male'],adult
